n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2 BRAF PTEN AKT PDPK1 p70_b1 p70_b2 ERK_b1 ERK_b2 MEK_b1 MEK_b2
2 SK-MEL-5 PI3K 49.0 0.016442999999999996 0.0 0.11632500000000001 0.475335 0.001722 0.0 0.048035 0.0 0.08511700000000001 0.030715999999999997 0.10782900000000002 0.047302
3 M14 Zero 49.5 0.6286069999999998 0.327078 0.034584000000000004 0.8041999999999999 0.7298049999999997 0.43509599999999976 0.8890069999999997 0.43476099999999984 0.7852039999999998 0.034447 0.6003149999999998 0.03409699999999999
2 SK-MEL-5 p53 49.0 0.099749 0.063902 0.008487999999999997 0.0 0.5192300000000001 0.5089239999999999 0.5711350000000001 0.506518 0.08514499999999997 0.0023840000000000003 0.10950099999999999 0.0031639999999999997
3 M14 BRAF 49.5 0.6141279999999998 0.32758899999999996 0.0 0.7977999999999998 0.7234299999999996 0.44243799999999994 0.8771359999999997 0.442434 0.7665699999999998 0.0 0.5748389999999999 0.0
4 SK-MEL-3 Zero 49.0 0.11980400000000004 0.05450199999999999 0.09403600000000002 0.5696960000000001 0.4969499999999998 0.23083300000000004 0.7582239999999997 0.22891600000000004 0.192953 0.06282599999999999 0.19667000000000007 0.06926300000000002
3 M14 PI3K 49.5 0.3379109999999999 0.0 0.10346500000000002 0.7972009999999998 0.28288300000000005 0.0 0.5922749999999997 0.0 0.7828449999999997 0.09900300000000002 0.6038729999999999 0.10315200000000002
4 SK-MEL-3 BRAF 49.0 0.12116600000000001 0.06064999999999998 0.0 0.5667030000000001 0.49144199999999993 0.22846200000000003 0.7515599999999998 0.227269 0.17298000000000002 0.0 0.18974600000000003 0.0
3 M14 p53 49.5 0.8009149999999999 0.7119530000000001 0.000802 0.0 0.9928980000000001 0.9732510000000001 0.9896890000000003 0.964755 0.7632329999999999 0.00034300000000000004 0.5840270000000001 0.000726
4 SK-MEL-3 PI3K 49.0 0.11143399999999999 0.0 0.178344 0.5635669999999998 0.296386 0.0 0.6282239999999998 0.0 0.21640600000000002 0.12016400000000003 0.220956 0.131202
4 SK-MEL-3 p53 49.0 0.18838700000000003 0.118019 0.015584999999999996 0.0 0.6896369999999997 0.5206939999999998 0.8502189999999997 0.5197539999999998 0.16396700000000003 0.012352 0.17655700000000002 0.012627
5 MMAc-SF Zero 49.5 0.05830600000000002 0.037059999999999996 0.06938000000000004 0.29448699999999994 0.6431039999999998 0.6109399999999997 0.6869039999999996 0.6041399999999999 0.168904 0.04734699999999999 0.09821800000000004 0.049196999999999984
5 MMAc-SF BRAF 49.5 0.057491 0.038221 0.0 0.2730649999999999 0.6651129999999998 0.6309699999999999 0.7121890000000001 0.623873 0.074545 0.0 0.034901999999999996 0.0
6 LOXIMVI Zero 49.0 0.23811400000000002 0.139506 0.283345 0.47660300000000005 0.428024 0.366945 0.46025400000000005 0.301775 0.46408900000000003 0.16468399999999997 0.7401209999999996 0.26622299999999993
5 MMAc-SF PI3K 49.5 0.129314 0.0 0.23298100000000002 0.27615599999999996 0.0 0.0 0.0017250000000000004 0.0 0.42621499999999996 0.17081300000000005 0.261045 0.17016000000000003
5 MMAc-SF p53 49.5 0.07819900000000002 0.049650999999999994 0.003578 0.0 0.8565069999999995 0.8350949999999998 0.8754969999999995 0.8177619999999997 0.07349299999999999 0.0030230000000000005 0.03964699999999998 0.002458
6 LOXIMVI BRAF 49.0 0.22567800000000013 0.13681600000000002 0.0 0.4729999999999999 0.43061900000000003 0.363309 0.45798399999999984 0.29611000000000004 0.44779799999999986 0.0 0.7428429999999997 0.0
7 Geo Zero 49.0 0.07184700000000001 0.005943 0.018133999999999997 0.5138139999999999 0.23640899999999992 0.38147999999999993 0.37800899999999993 0.044765000000000006 0.15128599999999992 0.017105999999999996 0.12700499999999998 0.017528000000000002
6 LOXIMVI PI3K 49.0 0.186123 0.0 0.5443099999999998 0.4624009999999999 0.007027 0.0 0.028727 0.0 0.46473499999999984 0.331791 0.7346260000000001 0.507628
7 Geo BRAF 49.0 0.06607 0.005039999999999999 0.0 0.5273599999999999 0.22835800000000006 0.36964600000000003 0.36689000000000005 0.043711999999999994 0.13808800000000002 0.0 0.11482500000000001 0.0
6 LOXIMVI p53 49.0 0.4537689999999997 0.2598929999999998 0.04624499999999998 0.0 0.8033609999999994 0.6903369999999999 0.8367269999999997 0.5584259999999998 0.4505729999999996 0.021321 0.7521110000000003 0.039576000000000014
7 Geo PI3K 49.0 0.012798000000000002 0.0 0.025852 0.523693 0.0 0.0 0.0 0.0 0.173359 0.02816299999999999 0.139968 0.027246
7 Geo p53 49.0 0.137759 0.013277 0.0121 0.043894 0.5019119999999999 0.750671 0.7481700000000001 0.10738099999999999 0.150507 0.010737 0.123577 0.012332999999999998
8 SH-4 Zero 49.0 0.09244299999999998 0.061009999999999995 0.120638 0.5640460000000002 0.20004300000000008 0.1915010000000001 0.3963309999999997 0.18792200000000003 0.2529660000000001 0.11764 0.255362 0.11999499999999999
8 SH-4 BRAF 49.0 0.08655499999999998 0.06719800000000001 0.0 0.5703980000000001 0.20661300000000002 0.19750500000000001 0.39184699999999995 0.193587 0.22780600000000006 0.0 0.23269200000000004 0.0
8 SH-4 PI3K 49.0 0.08849400000000002 0.0 0.18967 0.571377 0.0 0.0 0.181104 0.0 0.2766119999999998 0.184587 0.27764399999999984 0.19029
9 HCT-15 Zero 49.0 0.7201679999999999 0.5532159999999997 0.10811500000000003 0.19164800000000004 0.662804 0.680202 0.7676239999999999 0.5953999999999997 0.9073519999999997 0.10545700000000001 0.704665 0.10730200000000001
8 SH-4 p53 49.0 0.22617200000000007 0.15425899999999998 0.047290000000000006 0.0 0.4586989999999999 0.45162199999999997 0.5915899999999997 0.443332 0.2393510000000001 0.047816000000000004 0.24502900000000005 0.047971999999999994
9 HCT-15 BRAF 49.0 0.696967 0.5525979999999999 0.0 0.18980100000000008 0.6625059999999999 0.6782880000000001 0.765826 0.6005109999999998 0.902924 0.0 0.6937890000000001 0.0
10 Hs-939-T Zero 49.0 0.169931 0.08669499999999998 0.008786 0.42452900000000005 0.8007400000000001 0.4709679999999999 0.8705249999999999 0.4744439999999999 0.18925900000000004 0.008497000000000001 0.17394300000000001 0.010004
9 HCT-15 PI3K 49.0 0.5406559999999997 0.21581500000000006 0.30391800000000013 0.18859900000000004 0.22963300000000006 0.22842700000000007 0.40400999999999987 0.23355500000000007 0.9057119999999997 0.297739 0.6907229999999998 0.302466
10 Hs-939-T BRAF 49.0 0.16333100000000006 0.07551900000000003 0.0 0.4342599999999998 0.8055009999999998 0.46168999999999993 0.8784399999999999 0.46392699999999987 0.17784800000000012 0.0 0.17614300000000005 0.0
9 HCT-15 p53 49.0 0.8336529999999998 0.6370809999999999 0.059884000000000014 0.0 0.7570639999999997 0.7805259999999999 0.8553159999999995 0.6887639999999997 0.9003709999999996 0.059085 0.6911849999999996 0.059828
10 Hs-939-T PI3K 49.0 0.10346699999999998 0.0 0.029684000000000002 0.408718 0.4211270000000001 0.0 0.5289109999999997 0.0 0.19665600000000005 0.024797000000000003 0.186986 0.029810999999999997
11 LoVo Zero 49.0 0.3031779999999999 0.16155099999999997 0.3954629999999999 0.45974599999999993 0.29841499999999993 0.36881400000000003 0.4725829999999999 0.27250299999999994 0.5698179999999999 0.291942 0.7384339999999998 0.3819589999999999
10 Hs-939-T p53 49.0 0.223308 0.147711 0.0006680000000000001 0.0 0.9446119999999998 0.8161229999999999 0.9650029999999998 0.816918 0.197274 0.0002 0.189587 0.0006000000000000001
11 LoVo BRAF 49.0 0.29613700000000004 0.168849 0.0 0.4526 0.31057899999999994 0.376818 0.49238799999999994 0.27944100000000005 0.585447 0.0 0.749658 0.0
12 COLO-320 Zero 49.0 0.5774069999999999 0.447848 0.17234500000000003 0.30773499999999987 0.5138749999999999 0.49484599999999995 0.557329 0.499405 0.648775 0.16683200000000004 0.637752 0.167656
11 LoVo PI3K 49.0 0.25038600000000005 0.0 0.6063889999999998 0.45124099999999995 0.0 0.0 0.04746199999999999 0.0 0.572538 0.452426 0.7336619999999998 0.5951719999999998
12 COLO-320 BRAF 49.0 0.49820799999999976 0.46913299999999986 0.0 0.295719 0.531202 0.5141969999999999 0.5697279999999998 0.5195859999999998 0.6751739999999999 0.0 0.6644829999999998 0.0
12 COLO-320 PI3K 49.0 0.5312870000000001 0.0 0.655541 0.31128799999999995 0.0 0.0 0.0 0.0 0.676497 0.656635 0.660051 0.650317
11 LoVo p53 49.0 0.5618499999999997 0.316757 0.21078500000000003 0.0 0.5603819999999997 0.6760739999999995 0.8260759999999993 0.512921 0.5680019999999998 0.14988699999999996 0.7361929999999994 0.20890900000000004
12 COLO-320 p53 49.0 0.6506970000000002 0.6171620000000001 0.010662 0.0 0.712325 0.695213 0.7468910000000001 0.6984929999999999 0.6447140000000002 0.011761999999999998 0.6349730000000001 0.011121999999999998
13 SK-MEL-30 Zero 49.0 0.39656499999999995 0.25268199999999996 0.015099 0.325 0.6466090000000001 0.4837439999999999 0.8534079999999997 0.48112399999999994 0.47949899999999995 0.012956 0.5196819999999998 0.014481
13 SK-MEL-30 BRAF 49.0 0.37273700000000004 0.23268599999999998 0.0 0.338484 0.632785 0.4683030000000001 0.8363510000000001 0.46577900000000005 0.4753490000000001 0.0 0.5085909999999999 0.0
13 SK-MEL-30 PI3K 49.0 0.258029 0.0 0.038942000000000004 0.3343990000000001 0.234887 0.0 0.6308619999999998 0.0 0.47265900000000005 0.03878599999999999 0.5099349999999999 0.038953
14 IGR-37 Zero 49.0 0.5412989999999998 0.32952499999999996 0.05297600000000001 0.24431699999999995 0.4312149999999998 0.3890559999999999 0.8295739999999998 0.3909439999999999 0.6265619999999996 0.05379199999999999 0.5511290000000001 0.05320099999999999
14 IGR-37 BRAF 49.0 0.531987 0.3267599999999999 0.0 0.23294600000000001 0.4387429999999999 0.388731 0.847279 0.3913439999999999 0.609237 0.0 0.5329219999999999 0.0
13 SK-MEL-30 p53 49.0 0.479208 0.363939 0.0068189999999999995 0.0 0.8167289999999999 0.7120040000000001 0.9234800000000001 0.7103619999999999 0.47576000000000007 0.005148 0.5068900000000001 0.006672999999999999
14 IGR-37 PI3K 49.0 0.44996400000000003 0.0 0.18946299999999994 0.23241299999999998 0.024945999999999996 0.0 0.6941160000000001 0.0 0.626347 0.18818900000000002 0.5534360000000002 0.18906999999999996
14 IGR-37 p53 49.0 0.5933620000000001 0.4300649999999999 0.025151999999999997 0.0 0.520455 0.5088759999999999 0.84643 0.508801 0.628401 0.027881999999999997 0.552345 0.026593
15 HMV-II Zero 49.5 0.5116549999999996 0.229171 0.033212 0.2561770000000001 0.9020899999999997 0.7846449999999998 0.8914109999999997 0.414188 0.5824559999999999 0.026036 0.5092289999999998 0.027007
15 HMV-II BRAF 49.5 0.5092409999999999 0.220503 0.0 0.2728610000000001 0.8956829999999997 0.766434 0.8771319999999997 0.407398 0.5834479999999997 0.0 0.5101049999999999 0.0
16 IGR-1 Zero 49.0 0.11084000000000004 0.086123 0.013791 0.23831400000000003 0.4086809999999998 0.3826479999999999 0.4794969999999998 0.370949 0.13466200000000011 0.011765000000000001 0.1391850000000001 0.013149
16 IGR-1 BRAF 49.0 0.106887 0.081528 0.0 0.237583 0.40613999999999995 0.380151 0.47198699999999993 0.367618 0.12605599999999997 0.0 0.13136799999999998 0.0
15 HMV-II PI3K 49.5 0.2995789999999999 0.0036119999999999993 0.22782800000000006 0.267182 0.35665099999999983 0.009925 0.4248949999999997 0.0057870000000000005 0.6097950000000005 0.17695400000000003 0.5340110000000003 0.18384899999999996
16 IGR-1 PI3K 49.0 0.043001 0.0 0.053113 0.24176299999999998 0.006449 0.0 0.06883999999999998 0.0 0.14022400000000002 0.05093 0.14561700000000002 0.054636000000000004
15 HMV-II p53 49.5 0.5928169999999999 0.280688 0.0 0.0 0.9998020000000001 0.9988020000000001 0.9994020000000001 0.529007 0.566598 0.0 0.49856999999999996 0.0
16 IGR-1 p53 49.0 0.130299 0.10234299999999999 0.0027140000000000003 0.0 0.4979189999999999 0.4917499999999999 0.535032 0.474707 0.12750600000000004 0.00158 0.13194300000000003 0.00279
17 SW837 Zero 49.0 0.35629699999999975 0.20506599999999997 0.2324670000000001 0.7153990000000002 0.7903409999999996 0.5656299999999999 0.8515509999999996 0.4695700000000001 0.5139929999999999 0.199758 0.3882489999999998 0.20103200000000002
17 SW837 BRAF 49.0 0.28481399999999996 0.165863 0.0 0.7184 0.7881060000000001 0.5605549999999999 0.8492859999999999 0.4692030000000001 0.35917299999999996 0.0 0.28158200000000005 0.0
17 SW837 PI3K 49.0 0.3145119999999999 0.045318999999999984 0.46569199999999994 0.7225979999999999 0.47622599999999987 0.11603399999999998 0.6152120000000001 0.10023599999999999 0.6398489999999999 0.39772500000000005 0.5185259999999998 0.4023939999999999
18 GP2d Zero 49.0 0.45640300000000006 0.22816399999999998 0.5010820000000001 0.5333470000000003 0.299758 0.329986 0.5105070000000003 0.25435299999999994 0.8101350000000002 0.48473099999999997 0.800414 0.4819250000000001
17 SW837 p53 49.0 0.44266399999999995 0.34427399999999997 0.075283 0.0 0.9909070000000002 0.9679640000000003 0.9938410000000001 0.8065870000000002 0.436768 0.083492 0.308784 0.07972599999999999
18 GP2d BRAF 49.0 0.367643 0.227757 0.0 0.5413659999999999 0.30621800000000005 0.33872899999999995 0.511743 0.259707 0.7970889999999998 0.0 0.797931 0.0
19 HT-29 Zero 49.0 0.23382800000000006 0.13369299999999998 0.32915399999999984 0.4180979999999997 0.6345110000000002 0.6863010000000004 0.7195950000000001 0.6078470000000001 0.4649329999999998 0.314531 0.4742609999999999 0.3246779999999999
18 GP2d PI3K 49.0 0.434876 0.0 0.7514569999999999 0.536182 0.0 0.0 0.20433100000000004 0.0 0.8004700000000001 0.7111480000000001 0.794193 0.7174360000000001
19 HT-29 BRAF 49.0 0.13291100000000003 0.10226700000000002 0.0 0.43089200000000005 0.6223109999999997 0.6727929999999999 0.7126879999999997 0.5964609999999998 0.18282800000000005 0.0 0.18945300000000007 0.0
18 GP2d p53 49.0 0.799372 0.4483940000000001 0.2851979999999999 0.16190600000000002 0.5676050000000001 0.6138260000000003 0.7741549999999998 0.4962310000000002 0.814907 0.280416 0.8074959999999999 0.277143
19 HT-29 PI3K 49.0 0.40273999999999993 0.04986500000000001 0.6137099999999998 0.42164999999999997 0.23967499999999997 0.253374 0.32393999999999984 0.24103099999999994 0.7073509999999997 0.5775769999999998 0.7198690000000001 0.5992489999999996
20 SK-MEL-28 Zero 49.0 0.03696000000000001 0.016941 0.018531999999999996 0.6963999999999997 0.21826700000000002 0.21814200000000003 0.2786269999999999 0.10982700000000001 0.15923600000000004 0.011969000000000002 0.10621599999999999 0.012937000000000002
19 HT-29 p53 49.0 0.33163900000000013 0.18259600000000004 0.15318000000000004 0.012838000000000004 0.8631859999999999 0.9474920000000001 0.9616629999999997 0.8208109999999996 0.3184980000000001 0.15976900000000005 0.318366 0.15826100000000007
20 SK-MEL-28 BRAF 49.0 0.028138 0.013366 0.0 0.698399 0.209771 0.208928 0.292006 0.11549499999999999 0.15899300000000002 0.0 0.09924900000000002 0.0
20 SK-MEL-28 PI3K 49.0 0.019313000000000007 0.0 0.024583 0.6951989999999999 0.0 0.0 0.18590900000000002 0.0 0.159311 0.016151000000000002 0.10142499999999993 0.016347
21 GAK Zero 49.5 0.017008999999999996 0.005774999999999999 0.040103 0.49018899999999965 0.8161739999999996 0.356283 0.6189149999999994 0.268291 0.036699999999999997 0.012084 0.04625399999999999 0.015264999999999997
20 SK-MEL-28 p53 49.0 0.09811200000000003 0.061844 0.0035680000000000004 0.0 0.7162649999999997 0.7117459999999999 0.49483699999999997 0.38542200000000004 0.150195 0.00268 0.10114700000000004 0.002608
21 GAK BRAF 49.5 0.017182999999999997 0.006495 0.0 0.48574999999999996 0.798986 0.3555689999999999 0.6162239999999999 0.27208699999999986 0.025478999999999998 0.0 0.03652500000000001 0.0
21 GAK PI3K 49.5 0.033826 0.0 0.12381899999999998 0.49227999999999994 0.552534 0.0 0.409512 0.0 0.07912399999999999 0.046642 0.080437 0.052389
22 IST-MEL1 Zero 49.5 0.42951399999999984 0.3038389999999999 0.28265299999999993 0.5269989999999998 0.5737809999999998 0.46089399999999997 0.7055459999999998 0.45844599999999996 0.7231399999999997 0.277286 0.6970889999999997 0.281133
21 GAK p53 49.5 0.024132 0.014483 0.0 0.0 0.8964949999999999 0.6726650000000003 0.68442 0.504615 0.027724 0.0 0.037228 0.0
22 IST-MEL1 BRAF 49.5 0.4267789999999999 0.299568 0.0 0.5462 0.5592719999999998 0.44566499999999987 0.70424 0.4445159999999999 0.7022479999999999 0.0 0.6699489999999999 0.0
23 COLO-800 Zero 49.0 0.04457099999999999 0.026148999999999995 0.008689000000000002 0.38053299999999957 0.29501800000000006 0.26245100000000005 0.3866119999999997 0.257066 0.10500700000000004 0.006638 0.09616900000000002 0.00674
22 IST-MEL1 PI3K 49.5 0.36545600000000006 0.0 0.5695030000000001 0.5407980000000002 0.13285099999999997 0.0 0.32591499999999995 0.0 0.7405100000000002 0.5481960000000002 0.7167240000000001 0.55923
23 COLO-800 BRAF 49.0 0.046511000000000004 0.027657000000000004 0.0 0.3745110000000001 0.29941900000000005 0.2697110000000001 0.39252200000000015 0.26463999999999993 0.110016 0.0 0.09534200000000002 0.0
22 IST-MEL1 p53 49.5 0.7157629999999997 0.6477449999999997 0.012296 0.0 0.9891969999999997 0.9727809999999997 0.9969519999999995 0.9721809999999996 0.700651 0.013478 0.6743119999999999 0.013184999999999999
23 COLO-800 PI3K 49.0 0.007205999999999999 0.0 0.011442 0.36912599999999995 0.0064 0.0 0.07765400000000001 0.0 0.11320699999999999 0.008788000000000002 0.09455699999999999 0.009051
24 T84 Zero 49.0 0.30452199999999985 0.12050900000000002 0.14331299999999997 0.359464 0.42265500000000006 0.5512980000000003 0.648542 0.2485409999999999 0.46323200000000003 0.11465800000000001 0.5855090000000001 0.136509
23 COLO-800 p53 49.0 0.070387 0.04094999999999999 0.006311000000000001 0.0 0.4424020000000001 0.424993 0.501875 0.41020100000000004 0.102232 0.004242 0.088215 0.004763000000000001
24 T84 BRAF 49.0 0.29750599999999994 0.12359800000000003 0.0 0.3609289999999999 0.42266999999999993 0.545498 0.6545840000000003 0.24333499999999994 0.4422560000000002 0.0 0.571156 0.0
25 LS-123 Zero 49.0 0.06233099999999999 0.034751 0.017514 0.2764159999999999 0.23277199999999998 0.229326 0.24745200000000003 0.19864599999999996 0.16411700000000004 0.018276000000000004 0.16203900000000002 0.018553
24 T84 PI3K 49.0 0.155688 0.0 0.28481900000000004 0.3665630000000001 0.0 0.0 0.018039000000000003 0.0 0.467314 0.23915299999999998 0.583018 0.27208000000000004
25 LS-123 BRAF 49.0 0.05246499999999999 0.038652 0.0 0.269209 0.227276 0.22499100000000002 0.24020799999999995 0.194558 0.159447 0.0 0.15623 0.0
24 T84 p53 49.0 0.45588499999999993 0.185283 0.050078000000000004 0.0 0.6593849999999999 0.8403100000000001 0.915227 0.38584299999999994 0.44024799999999986 0.038409 0.5745929999999997 0.04790200000000001
25 LS-123 PI3K 49.0 0.021573 0.0 0.030012000000000004 0.276211 0.0 0.0 0.004366999999999999 0.0 0.161623 0.027867999999999997 0.15965699999999994 0.029656000000000002
25 LS-123 p53 49.0 0.086868 0.054317 0.015612999999999998 0.0 0.31993999999999995 0.31692099999999995 0.3322 0.27695699999999995 0.16156200000000004 0.015177 0.16026900000000005 0.015957
26 HT55 Zero 49.0 0.6338319999999996 0.24454999999999996 0.333906 0.2932020000000001 0.387902 0.788369 0.7991169999999997 0.30501700000000004 0.8198089999999998 0.3208589999999999 0.8236209999999998 0.32015799999999994
26 HT55 BRAF 49.0 0.6212409999999998 0.25340899999999994 0.0 0.29878899999999997 0.3913419999999999 0.7892179999999999 0.7988359999999999 0.3073439999999999 0.8139770000000001 0.0 0.8207620000000001 0.0
27 SW403 Zero 49.0 0.031090000000000007 0.003143 0.027332000000000006 0.4098010000000002 0.684621 0.8191529999999997 0.8257949999999997 0.177012 0.04181299999999998 0.008476999999999998 0.031613999999999996 0.009769
26 HT55 PI3K 49.0 0.5350709999999999 0.13820800000000008 0.4386919999999999 0.2953709999999998 0.22348100000000015 0.43092699999999984 0.4561229999999995 0.1743330000000001 0.8160259999999997 0.40648999999999985 0.8190159999999997 0.4130309999999998
27 SW403 BRAF 49.0 0.024702999999999996 0.004179 0.0 0.406865 0.673141 0.805983 0.8168420000000001 0.18080400000000002 0.027073999999999994 0.0 0.018457999999999995 0.0
26 HT55 p53 49.0 0.805626 0.296636 0.28226499999999993 0.001762 0.465318 0.93639 0.9442849999999998 0.360786 0.8237549999999999 0.2725479999999999 0.8283190000000001 0.27159099999999997
27 SW403 PI3K 49.0 0.03386400000000001 0.0016579999999999998 0.05558599999999999 0.40042700000000003 0.486403 0.582983 0.5996039999999999 0.13414500000000004 0.07263499999999998 0.019439000000000005 0.054151000000000005 0.025710999999999994
27 SW403 p53 49.0 0.048273 0.00347 0.019141 0.0014000000000000002 0.7614700000000002 0.9253490000000001 0.9298580000000001 0.19397899999999998 0.045569000000000005 0.008008 0.03443500000000001 0.009424
28 DiFi Zero 49.0 0.4406319999999999 0.34187400000000007 0.278743 0.3764739999999999 0.5373239999999999 0.5840799999999999 0.6035099999999997 0.49420600000000003 0.6975849999999997 0.237946 0.5733429999999998 0.23121600000000003
28 DiFi BRAF 49.0 0.43194799999999994 0.33846400000000004 0.0 0.38427 0.537 0.5783659999999998 0.6013709999999998 0.49212199999999995 0.678892 0.0 0.5533869999999999 0.0
29 MEL-HO Zero 49.0 0.07684500000000001 0.046331000000000004 0.010783000000000001 0.36821200000000004 0.5791170000000001 0.32793199999999995 0.9119170000000003 0.32891399999999993 0.08866900000000001 0.006810999999999999 0.12929300000000005 0.010405000000000001
29 MEL-HO BRAF 49.0 0.081017 0.047581000000000005 0.0 0.3747890000000001 0.5809310000000001 0.321826 0.9191659999999999 0.32150699999999993 0.09014699999999999 0.0 0.13271599999999997 0.0
28 DiFi PI3K 49.0 0.3410039999999999 0.0 0.645337 0.371839 0.0 0.0 0.0054579999999999984 0.0 0.709432 0.539075 0.5827570000000001 0.5426190000000001
29 MEL-HO PI3K 49.0 0.057853999999999996 0.0 0.040283 0.3612099999999999 0.3109120000000001 0.0 0.844829 0.0 0.08699400000000002 0.021713999999999997 0.126418 0.03540600000000001
29 MEL-HO p53 49.0 0.09660200000000002 0.070782 0.0006 0.0 0.6895760000000001 0.52479 0.9313440000000001 0.5243470000000001 0.08823200000000002 0.0007369999999999999 0.13798900000000006 0.0007999999999999999
28 DiFi p53 49.0 0.6991739999999999 0.5795189999999999 0.03826899999999998 0.0022 0.888437 0.9371730000000001 0.9668410000000001 0.848567 0.6792619999999996 0.030135999999999996 0.566325 0.029258999999999997
30 CCK-81 Zero 49.0 0.22819100000000006 0.10192100000000001 0.33815300000000004 0.5637789999999999 0.2530110000000001 0.28065000000000007 0.3087540000000001 0.17728100000000002 0.5408850000000001 0.27689600000000014 0.4864310000000002 0.2828480000000001
30 CCK-81 BRAF 49.0 0.20360899999999998 0.10881100000000002 0.0 0.5573999999999999 0.266849 0.29519599999999996 0.32380899999999996 0.193767 0.529103 0.0 0.48222400000000004 0.0
30 CCK-81 PI3K 49.0 0.17585700000000004 0.0 0.4971269999999999 0.570959 0.0 0.0 0.000399 0.0 0.5570919999999999 0.4077549999999999 0.49623899999999993 0.414701
31 SK-MEL-24 Zero 49.0 0.058881 0.043289 0.008039 0.129158 0.7509729999999997 0.7167219999999999 0.8307209999999997 0.7155769999999999 0.08449200000000003 0.00569 0.09906900000000002 0.008425
31 SK-MEL-24 BRAF 49.0 0.056989 0.044649 0.0 0.1225 0.7616140000000001 0.7268860000000001 0.8351680000000005 0.7271130000000002 0.061445999999999994 0.0 0.070247 0.0
30 CCK-81 p53 49.0 0.5345010000000002 0.29435799999999995 0.10473600000000007 0.002549 0.6320969999999997 0.6744459999999999 0.7376700000000004 0.5067869999999999 0.5265909999999999 0.08821899999999999 0.4749299999999999 0.08399900000000003
31 SK-MEL-24 PI3K 49.0 0.03809699999999999 0.0 0.058531 0.12315100000000001 0.0014 0.0 0.06127399999999998 0.0 0.21538100000000004 0.036270999999999984 0.240861 0.05924499999999999
31 SK-MEL-24 p53 49.0 0.06483699999999999 0.048574 0.002074 0.0 0.8480280000000001 0.8186930000000003 0.8972010000000001 0.8171330000000002 0.059532999999999996 0.00042199999999999996 0.070222 0.00109
32 RVH-421 Zero 49.5 0.15896400000000002 0.094959 0.09004399999999999 0.5768 0.6318419999999999 0.4255990000000001 0.6484279999999998 0.4223990000000001 0.28636800000000007 0.07405400000000001 0.20138899999999993 0.074684
32 RVH-421 BRAF 49.5 0.15618600000000007 0.08101900000000002 0.0 0.5802009999999999 0.624717 0.42217699999999997 0.6411839999999999 0.42205399999999993 0.22513900000000006 0.0 0.14997400000000002 0.0
32 RVH-421 PI3K 49.5 0.128693 0.0 0.180343 0.577798 0.24560900000000002 0.0 0.26674000000000003 0.0 0.345556 0.14478600000000003 0.23612900000000006 0.14824600000000002
33 WT Zero 49.0 0.22953099999999999 0.13200800000000001 0.18926799999999996 0.5002 0.3648159999999998 0.3611849999999996 0.4099909999999999 0.31921299999999986 0.4695779999999998 0.15914499999999998 0.4508009999999998 0.16929700000000003
