"","EGFR","PI3K","MEK1_2_b1","BRAF","RAS","PTEN","CRAF","mTOR","ERBB3","ERBB2","p53"
"MEL-JUSO",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Mewo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMAc-SF",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"MZ2-MEL",NA,NA,1,NA,1,NA,1,NA,NA,NA,NA
"MZ7-mel",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"NCI-H508",NA,1,NA,1,NA,NA,NA,NA,NA,NA,0
"NCI-H747",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
"RCM-1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"RKO",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"RPMI-7951",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"RVH-421",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"SH-4",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"SK-CO-1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"SK-MEL-1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"SK-MEL-2",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
"SK-MEL-24",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"SK-MEL-28",NA,NA,NA,1,NA,0,NA,NA,NA,NA,0
"SK-MEL-3",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"SK-MEL-30",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"SK-MEL-31",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"SK-MEL-5",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"SNU-1040",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"SNU-175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNU-407",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA
"SNU-61",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
"SNU-81",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA
"SNU-C1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"SNU-C2B",NA,NA,NA,NA,1,NA,NA,NA,NA,1,0
"SNU-C5",NA,1,NA,1,NA,NA,NA,NA,NA,NA,0
"SW1116",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"SW1417",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"SW1463",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
"SW48",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"SW620",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
"SW626",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"SW837",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
"SW948",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"T84",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"UACC-257",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"UACC-62",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"VMRC-MELG",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"WM-115",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"WM1552C",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0
"WM278",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"WM35",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"WM793B",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
